Name,Address,Phone,Email,URL
eNDi Burger & Coffee,N/A,N/A,N/A,https://www.local.ch/en/d/zurich/8004/restaurant/endi-burger-coffee-lSp-MzWSyJA9CDecssRFXw
Public Burger,N/A,044 201 24 04,info@public-burger.ch,https://www.local.ch/en/d/zurich/8045/restaurant/public-burger-E5RAzKEe2TrPsYZSpd9xOQ
Zest of Asia,N/A,044 271 20 22,N/A,https://www.local.ch/en/d/zurich/8005/restaurant/zest-of-asia-Z-D1vZEcSaBB95yG1u3nXw
Bü's Restaurant,N/A,044 211 94 11,N/A,https://www.local.ch/en/d/zurich/8001/restaurant/bue-s-restaurant-s11_7miwP1bxmqZ40OXhdg
Bistro Rose Garden,N/A,044 271 05 15,hello@bistro-rosegarden.ch,https://www.local.ch/en/d/zurich/8037/restaurant/bistro-rose-garden-DYEsa81UVTwF9rsjdM9Ekg
Casino Restaurant,N/A,044 432 10 60,info-casinoaltstetten@gmx.ch,https://www.local.ch/en/d/zurich/8048/restaurant/casino-restaurant-bOnLwqK2IMVUHPihMwa8bQ
Bar Zänker,N/A,044 262 64 60,bar@ebrietas.ch,https://www.local.ch/en/d/zurich/8001/restaurant/bar-zaenker-OgeyfaL_tPQ8bM8a8q9ExA
Riviera Pizzeria,N/A,043 321 34 00*,info@pizzeria-riviera.ch,https://www.local.ch/en/d/zurich/8005/restaurant/riviera-pizzeria-IcpUePMDANvvBJYRSlIr0Q
Olive-Ladencafé,N/A,044 304 66 91*,olive.ladencafe@gmail.com,https://www.local.ch/en/d/zurich/8041/restaurant/olive-ladencafe-L-2IQONWBXWddCp91-rrFQ
Yalla Habibi,N/A,043 333 14 60,contact@resto-yalla-habibi.ch,https://www.local.ch/en/d/zurich/8003/restaurant/yalla-habibi-MwoI5dzZ5JZodj0OlFIZug
Talacker,N/A,044 211 20 50,N/A,https://www.local.ch/en/d/zurich/8001/restaurant/talacker-YwIM07BpSnFvxETEh7dO4A
Morgarten Bar Restaurant,N/A,044 242 86 66,N/A,https://www.local.ch/en/d/zurich/8004/bar/morgarten-bar-restaurant-BNg_icdbRPkv13LhwO_McQ
JUNG Limmatplatz - Bäckerei,N/A,044 271 05 65*,limmatplatz@jung.ag,https://www.local.ch/en/d/zurich/8005/restaurant/jung-limmatplatz-baeckerei-VQbzpUYA28kt1YKX1IyVGw
Blue Monkey - Authentic Thai Restaurant,N/A,044 261 76 18,N/A,https://www.local.ch/en/d/zurich/8001/restaurant/blue-monkey-authentic-thai-restaurant-nl2Z_dzZzzMP2pthA1ZwrQ
GZ Bachwiesen,N/A,044 436 86 36,gz-bachwiesen@gz-zh.ch,https://www.local.ch/en/d/zurich/8047/restaurant/gz-bachwiesen-hi6lXtC_lLFfnkREJcGVWA
Localina Showcase,N/A,044 500 10 17*,N/A,https://www.local.ch/en/d/zurich/8005/restaurant/localina-showcase-s8dw7eXuSYW2AYn9ZJ8zjw
Campo,N/A,044 291 00 17,info@barcampo.com,https://www.local.ch/en/d/zurich/8004/restaurant/campo-WdwDtxXUySEQylFTpWq4JQ
Cafe zum Walter Buchmann,N/A,044 210 20 80*,N/A,https://www.local.ch/en/d/zurich/8004/restaurant/cafe-zum-walter-buchmann-ezug8bV9tUgRlYAT1NTAKg
Brasseri-e Ziegelhütte GmbH,N/A,N/A,dong.que1668@gmail.com,https://www.local.ch/en/d/zurich/8052/restaurant/brasseri-e-ziegelhuette-gmbh-Ktkw8eZ6WV9_MDAJYFRUfA
Quai Café Zürich,N/A,044 628 07 55*,quaicafe@eldora.ch,https://www.local.ch/en/d/zurich/8002/restaurant/quai-cafe-zuerich-ENjvvkQtRxQTRvFucDrBfw
Blueberry American Bakery,N/A,044 217 15 15,info@candriancatering.ch,https://www.local.ch/en/d/zurich/8001/restaurant/blueberry-american-bakery--bzLGPIR6YV1ufaC-Mss0w
Café Piazza,N/A,044 558 95 29*,N/A,https://www.local.ch/en/d/zurich/8003/restaurant/cafe-piazza-hKEoNzyMxsFNLRWJ-qBfcg
NapaGrill Zürich,N/A,N/A,N/A,https://www.local.ch/en/d/zurich/8002/restaurant/napagrill-zuerich-OxN_GdKHvkPQRCtV2nSpqw
Gastronoptikum,N/A,044 291 92 62,N/A,https://www.local.ch/en/d/zurich/8004/restaurant/gastronoptikum-5hiyS-4tM6kPBQo3OTI8NA
Pinky Burger,N/A,N/A,N/A,https://www.local.ch/en/d/zurich/8005/restaurant/pinky-burger-PpE1ntqWznTsAM3_-fR0Eg
Bäckerei Jung,N/A,044 419 03 22*,N/A,https://www.local.ch/en/d/zurich/8048/restaurant/baeckerei-jung-e4IsL1oGh04bdeXlyLsmHw
Burgermeister Oberdorf,N/A,044 260 84 45,oberdorf@burger-meister.ch,https://www.local.ch/en/d/zurich/8001/restaurant/burgermeister-oberdorf-G5bNF5wh3RxxJr1fwujE6g
Am Damm für Dich,N/A,043 317 91 60*,N/A,https://www.local.ch/en/d/zurich/8037/restaurant/am-damm-fuer-dich-UOZ1soISc-TWDdkYx-fydw
Chickeria,N/A,058 562 00 30,N/A,https://www.local.ch/en/d/zurich/8004/restaurant/chickeria-Y-U7IeFO6brjKHxezVYcIw
S Family Eritrean and Ethiopian Restaurant,N/A,N/A,N/A,https://www.local.ch/en/d/zurich/8003/restaurant/s-family-eritrean-and-ethiopian-restaurant-keQdFVdxuPBlnxZQNu98yw
Restaurant Tasty Haus 豐味樓,N/A,043 443 94 84,bubicheung70@tastyhaus.ch,https://www.local.ch/en/d/zurich/8050/restaurant/restaurant-tasty-haus-eyM_qbG66sF1BztaMljDtg
Bar Mau,N/A,076 480 36 36,info@barmau.ch,https://www.local.ch/en/d/zurich/8003/restaurant/bar-mau-WFhB5ntMeEFMQYRJUy8PSw
Himalaya Tibetan Restaurant,N/A,044 550 44 00*,info@himalaya-restaurant.ch,https://www.local.ch/en/d/zurich/8005/restaurant/himalaya-tibetan-restaurant-OY6WFwjn5uOCJyBjL6cm-w
naanu take&eat / restaurant,N/A,044 271 10 12*,naanu@naanu.ch,https://www.local.ch/en/d/zurich/8005/restaurant/naanu-take-eat-restaurant-TGk0pp_KGKxm4BXxgvHFKA
